,dtag,event_idx,x,y,z,1-BDC,high_resolution,Ligand Placed,Ligand Confidence
0,MID2A-x0453,1,28.2976078915,8.93684587979,8.13698866519,0.29,1.57,True,High
1,MID2A-x0680,1,26.7809547111,8.91904066266,4.68935557486,0.2,1.711,True,High
2,MID2A-x0623,1,27.3517078755,14.9948463355,2.19568086422,0.18,1.59,True,High
3,MID2A-x0594,1,24.8637356044,8.04305985072,3.18658962713,0.16,1.45,True,High
4,MID2A-x0484,1,22.5509337489,7.97736804635,4.04735990359,0.34,1.787,True,High
5,MID2A-x0691,1,24.7754622809,9.35880385672,4.44255974114,0.31,1.669,True,High
6,MID2A-x0659,1,22.4347089718,8.82361998154,1.62002394183,0.28,1.907,True,High
9,MID2A-x0456,1,22.1723882377,9.31589075069,2.16407601066,0.25,1.49,True,High
11,MID2A-x0652,1,23.775258955,8.93774876091,4.12723706923,0.34,1.95,True,High
12,MID2A-x0758,1,28.5502113249,8.22407746251,8.21885780296,0.34,2.223,True,High
13,MID2A-x0550,2,30.0302496104,8.09135740595,1.18784369966,0.16,1.771,True,High
14,MID2A-x0776,1,23.9720584675,9.1240396153,4.18693717435,0.28,1.98,True,High
15,MID2A-x0640,1,23.4054784794,9.33814496706,1.62515088997,0.33,1.969,True,High
16,MID2A-x0609,1,24.7281885939,9.02781678415,3.68832983172,0.42,2.661,True,High
19,MID2A-x0790,2,21.589942064,10.6621364602,3.75778995725,0.29,1.731,True,High
21,MID2A-x0425,1,22.8946700524,9.75455923677,2.17308325458,0.19,1.71,True,High
22,MID2A-x0762,1,24.4218946609,10.139026543,2.16750398707,0.12,1.897,True,High
23,MID2A-x0564,1,23.299,7.771,4.225,0.33,1.39,True,High
24,MID2A-x0631,1,26.8797816633,8.08852774233,5.23892589151,0.2,1.83,True,High
26,MID2A-x0531,1,24.8758317733,9.02016683948,1.65647024796,0.19,1.689,True,High
28,MID2A-x0576,1,27.9981131335,11.5918083887,7.26738258669,0.16,1.641,True,High
29,MID2A-x0633,1,28.3315188708,9.04927069992,-0.345277534023,0.17,1.669,True,High
30,MID2A-x0547,1,24.6937600921,9.22038079787,3.03393780052,0.59,1.921,True,High
33,MID2A-x0580,1,26.3309491727,12.5029470264,4.69926228695,0.1,1.681,True,High
37,MID2A-x0528,1,31.4988932299,12.2545933474,-13.83916194,0.5,1.719,True,High
38,MID2A-x0598,1,35.2628867765,6.42061161577,-16.1080618884,0.39,1.89,True,High
39,MID2A-x0782,1,35.2770957586,9.56557912993,-14.4667739588,0.48,1.76,True,High
40,MID2A-x0425,2,35.8446275498,12.2541427116,-13.9088469991,0.28,1.71,True,High
41,MID2A-x0434,2,35.7710635988,10.8682733347,-14.052905564,0.51,1.769,True,High
42,MID2A-x0478,2,37.3854514609,15.3897244459,-13.8688030446,0.23,1.85,True,High
43,MID2A-x0777,2,30.9827159207,13.1525907573,-10.2402970945,0.43,1.849,True,High
45,MID2A-x0594,2,35.8502881682,12.3047058047,-13.3330030357,0.15,1.45,True,High
46,MID2A-x0604,1,40.4392339693,14.3113356508,-14.1104470239,0.3,2.069,True,High
54,MID2A-x0525,1,35.5420949276,13.0413791623,-15.9830042235,0.39,1.54,True,High
55,MID2A-x0576,3,28.9113166721,-10.4627893792,0.00139173625879,0.19,1.641,True,High
56,MID2A-x0526,1,30.8768645233,-7.88369338453,0.0567706333147,0.26,1.64,True,High
57,MID2A-x0485,1,28.0069348617,-10.4119287478,2.02969019876,0.18,1.7,True,High
61,MID2A-x0508,1,31.8479621915,-7.49966469331,1.33691823806,0.13,1.74,True,High
62,MID2A-x0747,1,31.3180169033,-7.5152718667,0.406107099654,0.1,1.599,True,High
64,MID2A-x0558,1,29.8213326187,-8.30921559651,0.318469277232,0.13,1.75,True,High
65,MID2A-x0644,1,28.3784360335,-11.9629411108,-1.48707112923,0.13,1.68,True,High
71,MID2A-x0563,1,41.3833563658,8.66955437436,-42.6979049896,0.28,1.62,True,High
79,MID2A-x0794,1,38.8551464644,11.9548792872,-46.3275794549,0.13,1.569,True,High
119,MID2A-x0457,1,42.8143050415,5.44250252662,13.2198707221,0.16,1.589,True,High
129,MID2A-x0603,1,51.6802117077,21.7859705128,-3.16125492499,0.45,2.128,True,High
